iso3;year;SSP1;SSP2;SSP3;SSP4;SSP5
ARG;1970;7825,711987;7825,711987;7825,711987;7825,711987;7825,711987
ARG;1975;8187,222613;8187,222613;8187,222613;8187,222613;8187,222613
ARG;1980;8649,873712;8649,873712;8649,873712;8649,873712;8649,873712
ARG;1985;7328,894757;7328,894757;7328,894757;7328,894757;7328,894757
ARG;1990;6855,660909;6855,660909;6855,660909;6855,660909;6855,660909
ARG;1995;8590,824551;8590,824551;8590,824551;8590,824551;8590,824551
ARG;2000;9174,012154;9174,012154;9174,012154;9174,012154;9174,012154
ARG;2005;9974,728267;9974,728267;9974,728267;9974,728267;9974,728267
ARG;2010;11959,72459;11959,72459;11959,72459;11959,72459;11959,72459
ARG;2015;14444,80464;14370,76903;14219,19936;14214,11487;14466,97469
ARG;2020;17278,36488;16863,59761;16209,33668;16158,16489;17421,18417
ARG;2025;19869,32453;19011,81366;17664,08352;17477,68593;20299,3079
ARG;2030;22291,6203;21031,03092;18953,30294;18533,6866;23195,08512
ARG;2035;24931,21965;22999,78353;20257,07576;19487,24001;26511,12991
ARG;2040;27833,6491;24945,23926;21541,511;20410,31787;30281,32614
ARG;2045;30839,77248;27247,89555;22701,8461;21255,94709;34348,77203
ARG;2050;33747,88786;29812,37579;23660,34164;21966,53634;38727,95629
ARG;2055;36691,40501;32489,06971;24535,92289;22587,02935;43579,99334
ARG;2060;39825,95218;35231,55698;25440,74785;23204,58021;49046,47973
ARG;2065;43217,70722;38110,01472;26446,22764;23871,06666;55117,14207
ARG;2070;46894,20683;41205,82355;27562,64662;24610,36664;61829,26931
ARG;2075;50844,14507;44501,85158;28729,9051;25388,07029;69184,70471
ARG;2080;55078,23156;47973,44054;29888,31049;26206,01539;77221,01853
ARG;2085;59670,7999;51568,22178;31028,98607;27062,47113;86070,48213
ARG;2090;64490,2326;55270,53365;32215,80966;27958,08561;95564,83591
ARG;2095;69540,65804;59099,23918;33496,3035;28917,85869;105721,3917
ARG;2100;74859,37455;63081,077;34901,69163;29911,6712;116608,8482
ARM;1970;;;;;
ARM;1975;;;;;
ARM;1980;;;;;
ARM;1985;;;;;
ARM;1990;;;;;
ARM;1995;1919,135302;1919,135302;1919,135302;1919,135302;1919,135302
ARM;2000;2569,611502;2569,611502;2569,611502;2569,611502;2569,611502
ARM;2005;4541,669706;4541,669706;4541,669706;4541,669706;4541,669706
ARM;2010;5375,678083;5375,678083;5375,678083;5375,678083;5375,678083
ARM;2015;8574,08433;8606,372019;8582,629108;8595,765296;8600,338904
ARM;2020;13195,58977;13116,26384;12965,11785;12960,0602;13348,2365
ARM;2025;19188,28991;18707,10343;18271,96551;18105,44744;19684,35887
ARM;2030;24399,14842;23336,19775;22541,90363;21979,81374;25471,54783
ARM;2035;27879,23344;26466,00866;25322,84179;24228,4219;29715,94637
ARM;2040;29936,70117;28520,23521;27033,8155;25441,95721;32627,60051
ARM;2045;31304,07376;30059,54631;28240,68907;26231,40435;35120,68468
ARM;2050;32599,42114;31426,96892;29269,53496;26887,0206;37835,02815
ARM;2055;34203,01457;32894,06412;30316,99256;27577,74031;41166,59823
ARM;2060;36253,88198;34605,19463;31491,44783;28393,04102;45226,89823
ARM;2065;38730,10047;36601,8816;32870,92971;29387,42241;49994,13329
ARM;2070;41647,14109;38909,89857;34482,37988;30587,02899;55555,89023
ARM;2075;44992,27877;41503,79687;36298,97824;31988,53099;61954,21416
ARM;2080;48802,91538;44328,52156;38267,31962;33576,59821;69301,17618
