Source: Wittgenstein Centre for Demography and Global Human Capital (2015). Wittgenstein Centre Data Explorer Version 1.2.
Available at: www.wittgensteincentre.org/dataexplorer 
Note: Your selection includes at least one country with limited base year data on educational attainment. Please consult the FAQ for more information
""
"Population Size (000's)"
"De facto population in a country, region, or region classified by sex and by five-year age groups. Available in all scenarios and at all geographical scales. Figures are presented in thousands. <br><br> Source for 1970 to 2010: <a href=""http://esa.un.org/wpp/documentation/WPP%202010%20publications.htm"">UN Population Division, World Population Prospects 2010</a> "
"Multiple Scenarios"
" "
"Area","Scenario","ISOCode","Year","Population"
"Afghanistan","SSP1",4,2015,35400.33
"Afghanistan","SSP1",4,2020,39210.95
"Afghanistan","SSP1",4,2025,43035.57
"Afghanistan","SSP1",4,2030,46740.37
"Afghanistan","SSP1",4,2035,50423.28
"Afghanistan","SSP1",4,2040,53858.39
"Afghanistan","SSP1",4,2045,56894.33
"Afghanistan","SSP1",4,2050,59470.39
"Afghanistan","SSP1",4,2055,61653.29
"Afghanistan","SSP1",4,2060,63445.48
"Afghanistan","SSP1",4,2065,64892.86
"Afghanistan","SSP1",4,2070,65959.22
"Afghanistan","SSP1",4,2075,66596.63
"Afghanistan","SSP1",4,2080,66815.48
"Afghanistan","SSP1",4,2085,66644.93
"Afghanistan","SSP1",4,2090,66109.16
"Afghanistan","SSP1",4,2095,65246.8
"Afghanistan","SSP1",4,2100,64082.53
"Albania","SSP1",8,2015,3251.85
"Albania","SSP1",8,2020,3291.02
"Albania","SSP1",8,2025,3313.27
"Albania","SSP1",8,2030,3315.76
"Albania","SSP1",8,2035,3301.71
"Albania","SSP1",8,2040,3269.84
"Albania","SSP1",8,2045,3220.6
"Albania","SSP1",8,2050,3155.6
"Albania","SSP1",8,2055,3077.91
"Albania","SSP1",8,2060,2990.53
"Albania","SSP1",8,2065,2893.97
"Albania","SSP1",8,2070,2788.31
"Albania","SSP1",8,2075,2672.19
"Albania","SSP1",8,2080,2544.89
"Albania","SSP1",8,2085,2406.99
"Albania","SSP1",8,2090,2262.73
"Albania","SSP1",8,2095,2117.41
"Albania","SSP1",8,2100,1975.31
"Algeria","SSP1",12,2015,37923.44
"Algeria","SSP1",12,2020,40110.06
"Algeria","SSP1",12,2025,41882.1
"Algeria","SSP1",12,2030,43228.32
"Algeria","SSP1",12,2035,44333.43
"Algeria","SSP1",12,2040,45237.77
"Algeria","SSP1",12,2045,45892.44
"Algeria","SSP1",12,2050,46199.55
"Algeria","SSP1",12,2055,46140.74
"Algeria","SSP1",12,2060,45733.56
"Algeria","SSP1",12,2065,45040.95
"Algeria","SSP1",12,2070,44115.43
"Algeria","SSP1",12,2075,42982.18
"Algeria","SSP1",12,2080,41669.45
"Algeria","SSP1",12,2085,40220.27
"Algeria","SSP1",12,2090,38700.84
"Algeria","SSP1",12,2095,37160.16
"Algeria","SSP1",12,2100,35617.42
"Angola","SSP1",24,2015,21744.66
"Angola","SSP1",24,2020,24396.46
"Angola","SSP1",24,2025,27072.58
"Angola","SSP1",24,2030,29562
"Angola","SSP1",24,2035,31912.69
"Angola","SSP1",24,2040,34055.77
"Angola","SSP1",24,2045,35955.6
"Angola","SSP1",24,2050,37600.52
"Angola","SSP1",24,2055,39012.36
"Angola","SSP1",24,2060,40184.78
"Angola","SSP1",24,2065,41108.3
"Angola","SSP1",24,2070,41765.72
"Angola","SSP1",24,2075,42152.79
"Angola","SSP1",24,2080,42279.47
"Angola","SSP1",24,2085,42152.07
"Angola","SSP1",24,2090,41780.24
"Angola","SSP1",24,2095,41177.79
"Angola","SSP1",24,2100,40371.47
"Azerbaijan","SSP1",31,2015,9853.88
"Azerbaijan","SSP1",31,2020,10335.87
"Azerbaijan","SSP1",31,2025,10613.68
"Azerbaijan","SSP1",31,2030,10766.18
"Azerbaijan","SSP1",31,2035,10883.03
"Azerbaijan","SSP1",31,2040,10965.12
"Azerbaijan","SSP1",31,2045,10971.69
"Azerbaijan","SSP1",31,2050,10882.34
"Azerbaijan","SSP1",31,2055,10719.58
"Azerbaijan","SSP1",31,2060,10516.43
"Azerbaijan","SSP1",31,2065,10282.45
"Azerbaijan","SSP1",31,2070,10010.71
"Azerbaijan","SSP1",31,2075,9688.6
"Azerbaijan","SSP1",31,2080,9316.35
"Azerbaijan","SSP1",31,2085,8913.57
"Azerbaijan","SSP1",31,2090,8505.98
"Azerbaijan","SSP1",31,2095,8109.64
"Azerbaijan","SSP1",31,2100,7717.87
"Argentina","SSP1",32,2015,41943.97
"Argentina","SSP1",32,2020,43225.34
"Argentina","SSP1",32,2025,44239.15
"Argentina","SSP1",32,2030,44994.18
"Argentina","SSP1",32,2035,45580.91
"Argentina","SSP1",32,2040,45956.61
"Argentina","SSP1",32,2045,46083.3
"Argentina","SSP1",32,2050,45964.67
"Argentina","SSP1",32,2055,45644.43
"Argentina","SSP1",32,2060,45139.96
"Argentina","SSP1",32,2065,44472.31
"Argentina","SSP1",32,2070,43638.69
"Argentina","SSP1",32,2075,42640.46
"Argentina","SSP1",32,2080,41498.86
"Argentina","SSP1",32,2085,40242.58
"Argentina","SSP1",32,2090,38895.42
"Argentina","SSP1",32,2095,37480.21
"Argentina","SSP1",32,2100,36012.55
"Australia","SSP1",36,2015,24072.46
"Australia","SSP1",36,2020,25898.38
"Australia","SSP1",36,2025,27778.88
"Australia","SSP1",36,2030,29643.11
"Australia","SSP1",36,2035,31465.68
"Australia","SSP1",36,2040,33260.46
"Australia","SSP1",36,2045,35026.33
"Australia","SSP1",36,2050,36757.72
"Australia","SSP1",36,2055,38443.86
"Australia","SSP1",36,2060,40071.98
"Australia","SSP1",36,2065,41515.06
"Australia","SSP1",36,2070,42777.32
"Australia","SSP1",36,2075,43868.07
"Australia","SSP1",36,2080,44783.89
"Australia","SSP1",36,2085,45517.65
"Australia","SSP1",36,2090,46064.97
"Australia","SSP1",36,2095,46441.63
"Australia","SSP1",36,2100,46666.56
"Austria","SSP1",40,2015,8562
"Austria","SSP1",40,2020,8732.84
"Austria","SSP1",40,2025,8909.99
"Austria","SSP1",40,2030,9078.35
"Austria","SSP1",40,2035,9227.94
"Austria","SSP1",40,2040,9361.14
"Austria","SSP1",40,2045,9482.39
"Austria","SSP1",40,2050,9587.71
"Austria","SSP1",40,2055,9668.87
"Austria","SSP1",40,2060,9720.97
"Austria","SSP1",40,2065,9726.21
"Austria","SSP1",40,2070,9698.32
"Austria","SSP1",40,2075,9649.77
"Austria","SSP1",40,2080,9584.02
"Austria","SSP1",40,2085,9499.41
"Austria","SSP1",40,2090,9394.64
"Austria","SSP1",40,2095,9272.5
"Austria","SSP1",40,2100,9136.63
"Bahamas","SSP1",44,2015,363.72
